Date;Freight;Kaub_level;Mogas_Flat;Brent_flat;Diesel_Flat;Heating_Flat
03/01/2013;44.55;1290;573.6221999;260.6624943;572.0197715;554.5768775
04/01/2013;41.55;1167;577.4351018;260.252075;574.2190317;557.9930522
07/01/2013;41.55;981;576.1748866;258.9999233;578.3553034;561.7134214
08/01/2013;40.05;987;577.1565849;259.0784044;579.2390368;562.5034439
09/01/2013;38.55;960;578.0662078;259.375;583.3230435;567.1447261
10/01/2013;37.05;912;578.5336466;259.1397849;581.8364099;567.3135431
11/01/2013;37.05;891;553.2677205;249.3295163;556.0232894;541.7168022
14/01/2013;37.05;855;548.5416381;250.168653;558.2549831;544.0148281
15/01/2013;37.05;801;548.2169439;251.4444361;561.9875786;547.6920589
16/01/2013;37.05;753;550.3979705;250.3351661;563.2623183;546.5775737
17/01/2013;37.05;729;545.2364814;249.4389587;554.6662251;537.9023963
18/01/2013;37.05;702;553.0038285;251.8387872;558.294448;541.3200829
21/01/2013;38.55;648;557.0888857;253.569016;563.6565969;546.8942326
22/01/2013;38.55;633;562.7425922;254.5843658;565.6764826;550.4884957
23/01/2013;38.55;606;570.7653833;256.0015004;565.5592343;549.696689
24/01/2013;38.55;591;572.494879;257.2552251;565.8753479;550.5180226
25/01/2013;38.55;573;566.8066977;253.5600267;552.3094556;536.3424042
28/01/2013;38.55;537;571.4837738;253.6521868;555.495073;540.5520966
29/01/2013;37.8;516;580.1772535;257.0311918;565.4787619;549.6119662
30/01/2013;37.05;594;577.9477678;255.424267;556.9241304;541.9705217
31/01/2013;35.55;855;579.7926939;256.2509225;558.300981;542.3401097
01/02/2013;35.55;1074;579.7306879;257.0140721;557.2256649;541.741968
04/02/2013;35.55;1593;583.665564;257.7848288;562.7666409;547.2166156
05/02/2013;35.55;1677;584.525634;259.3115166;567.0574999;551.7042097
06/02/2013;35.55;1668;588.0719444;259.2957017;569.7267017;554.5695052
07/02/2013;35.55;1629;588.604045;259.8036321;568.5038653;553.5599845
08/02/2013;35.55;1578;605.3137208;267.0031404;592.9486628;579.0716511
11/02/2013;35.55;1224;601.1240174;265.4544097;588.8377809;575.3716476
12/02/2013;35.55;1104;597.0324395;263.4543831;581.4140376;567.06218
13/02/2013;35.55;1017;598.0433563;263.65727;576.4677546;562.4334105
14/02/2013;35.55;951;615.1205258;266.3690253;589.7899577;574.5769685
15/02/2013;35.55;909;620.1738393;264.4953096;585.9401789;569.3990264
18/02/2013;35.55;816;620.7622983;264.0503295;585.6727837;570.4640825
19/02/2013;35.55;780;617.428301;263.3680426;582.8044341;566.2310752
20/02/2013;35.55;768;613.3891031;260.6207928;579.5623107;562.0762052
21/02/2013;37.8;753;615.0036016;260.367056;588.0844794;571.5457489
22/02/2013;37.8;732;618.5392864;258.7972092;585.8303396;569.9641129
25/02/2013;37.8;645;609.6005371;258.9597114;577.0999929;560.8870634
26/02/2013;37.8;639;615.2491451;259.5090617;587.1992025;569.5642335
